city,population_2020,sumlev,state,county,place,cousub,concit,primgeo_flag,funcstat,stname,estimatesbase2020,popestimate2021,popestimate2022,popestimate2023,size_category,population_rank,region
Winthrop,823,162,19,000,86565,00000,00000,0,A,Iowa,822,821,820,818,Village,314,Other
Wiota,91,162,19,000,86610,00000,00000,0,A,Iowa,91,91,91,91,Village,650,Other
Woden,185,162,19,000,86700,00000,00000,0,A,Iowa,186,184,183,181,Village,577,Other
Woodbine,1627,162,19,000,86835,00000,00000,0,A,Iowa,1630,1631,1635,1718,Village,189,Other
Woodburn,150,162,19,000,86880,00000,00000,0,A,Iowa,151,149,143,141,Village,602,Other
Woodward,1350,162,19,000,86970,00000,00000,0,A,Iowa,1348,1361,1368,1363,Village,218,Other
Woolstock,142,162,19,000,87015,00000,00000,0,A,Iowa,142,140,139,140,Village,610,Other
Worthington,378,162,19,000,87060,00000,00000,0,A,Iowa,378,380,372,372,Village,461,Other
Wyoming,524,162,19,000,87240,00000,00000,0,A,Iowa,524,530,530,527,Village,402,Other
Yale,267,162,19,000,87285,00000,00000,0,A,Iowa,267,265,266,264,Village,518,Other
Yetter,19,162,19,000,87375,00000,00000,0,A,Iowa,19,19,18,19,Village,708,Other
Yorktown,63,162,19,000,87420,00000,00000,0,A,Iowa,63,63,63,62,Village,675,Other
Zearing,535,162,19,000,87555,00000,00000,0,A,Iowa,536,536,531,503,Village,397,Other
Zwingle,86,162,19,000,87690,00000,00000,0,A,Iowa,86,85,86,86,Village,655,Other
